epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,16553.1,0.77305,0.07663,0.04847,0.5391,1.2155,0.98545,0.98571,0.9945,0.87092,0.99103,0.98622,0.99471,0.99463,0.58879,0.04134,0.00334,0.32282,1.14133,0.0002774,0.0002774,0.0002774
89,16738.8,0.77133,0.0778,0.04221,0.53462,1.20615,0.98241,0.98776,0.99454,0.87699,0.98985,0.98724,0.99479,0.99469,0.57705,0.04033,0.00529,0.32285,1.1342,0.0002576,0.0002576,0.0002576
90,16924.8,0.76241,0.07307,0.0454,0.52739,1.20864,0.98082,0.99125,0.99465,0.8718,0.99081,0.98998,0.99486,0.99482,0.5952,0.03917,0.00407,0.32691,1.14604,0.0002378,0.0002378,0.0002378
91,17110.4,0.67958,0.07625,0.01465,0.38065,1.25001,0.98679,0.99066,0.99475,0.8787,0.99182,0.9894,0.99488,0.99481,0.57072,0.03785,0.00193,0.32151,1.12375,0.000218,0.000218,0.000218
92,17296.2,0.65398,0.06768,0.01118,0.362,1.23442,0.98978,0.98929,0.99484,0.88488,0.99295,0.99082,0.99495,0.99491,0.55848,0.03758,0.00221,0.31116,1.11122,0.0001982,0.0001982,0.0001982
93,17481.7,0.64366,0.05924,0.00684,0.34924,1.21376,0.98743,0.99184,0.99481,0.88922,0.99206,0.99031,0.99492,0.99488,0.54893,0.03569,0.00152,0.30367,1.09908,0.0001784,0.0001784,0.0001784
94,17667.6,0.62361,0.05491,0.00656,0.34098,1.19782,0.98786,0.99672,0.99485,0.8928,0.98995,0.99745,0.99491,0.9949,0.53967,0.03349,0.00131,0.30013,1.08885,0.0001586,0.0001586,0.0001586
95,17854.2,0.61836,0.05345,0.00673,0.3341,1.191,0.98885,0.99547,0.99488,0.8941,0.99062,0.99592,0.99492,0.9949,0.53265,0.03227,0.00116,0.29647,1.08484,0.0001388,0.0001388,0.0001388
96,18039.8,0.6083,0.05317,0.0069,0.33299,1.18237,0.99339,0.9961,0.99494,0.89766,0.99389,0.99661,0.99496,0.99494,0.52507,0.03208,0.00112,0.29187,1.07803,0.000119,0.000119,0.000119
97,18224.9,0.59494,0.05072,0.00642,0.3277,1.16918,0.99122,0.9949,0.9949,0.89959,0.99043,0.99694,0.99493,0.99492,0.51914,0.03012,0.0011,0.29218,1.07219,9.92e-05,9.92e-05,9.92e-05
98,18410.4,0.59517,0.05203,0.00607,0.33027,1.1755,0.9908,0.99796,0.99493,0.90609,0.9944,0.99583,0.99497,0.99495,0.50637,0.03046,0.00107,0.28688,1.05931,7.94e-05,7.94e-05,7.94e-05
99,18596.3,0.59499,0.0513,0.00624,0.32463,1.17378,0.99189,0.9983,0.99493,0.90439,0.99308,0.99643,0.99497,0.99496,0.50859,0.03019,0.00109,0.28885,1.06512,5.96e-05,5.96e-05,5.96e-05
100,18781.5,0.57025,0.04807,0.00518,0.3156,1.14265,0.99186,0.99519,0.99495,0.90899,0.99339,0.99672,0.99496,0.99495,0.50117,0.02994,0.001,0.28418,1.05585,3.98e-05,3.98e-05,3.98e-05
